d_avg_cycle,d_med_cycle,d_mode_cycle,d_fft_dom_pri,w_avg_cycle,w_med_cycle,w_mode_cycle,w_fft_dom_pri,m_avg_cycle,m_med_cycle,m_mode_cycle,m_fft_dom_pri,Label,Symbol
3.2,3.0,2,45.0,4.8,4.0,7,10.0,2.9,2.0,2.0,18.0,0,7203.T
4.3,5.0,5,45.0,3.4,3.0,2,30.0,3.0,3.0,2.0,9.0,0,7203.T
4.5,4.0,3,30.0,3.7,4.0,4,30.0,4.4,4.0,3.0,18.0,0,7203.T
3.9,4.0,2,45.0,3.6,3.0,3,30.0,3.2,3.0,2.0,18.0,0,7203.T
3.7,3.0,2,45.0,4.0,3.5,3,30.0,3.6,3.0,3.0,18.0,1,8306.T
4.6,4.0,4,30.0,3.5,3.0,2,30.0,3.5,3.0,3.0,12.0,1,8306.T
4.2,3.0,2,45.0,3.8,3.5,3,20.0,6.0,6.0,5.0,12.0,1,8306.T
4.6,5.0,5,45.0,4.2,3.0,2,20.0,4.7,4.5,3.0,18.0,1,8306.T
5.2,4.0,4,45.0,3.6,3.0,3,20.0,7.0,7.0,7.0,7.0,1,8306.T
3.8,3.0,3,45.0,4.4,4.5,3,20.0,6.2,6.5,3.0,18.0,1,8306.T
4.0,4.0,2,30.0,3.6,3.0,2,30.0,3.2,3.0,3.0,18.0,1,8306.T
3.6,3.0,2,45.0,4.2,4.0,2,30.0,5.8,6.0,3.0,18.0,1,8306.T
4.2,4.0,2,30.0,4.2,4.0,4,30.0,3.2,3.0,2.0,18.0,1,8306.T
4.0,3.0,2,22.5,3.7,4.0,2,20.0,6.8,7.5,9.0,18.0,1,8306.T
4.2,4.0,4,30.0,3.6,3.5,2,30.0,3.1,3.0,2.0,18.0,1,8306.T
4.2,4.0,4,22.5,4.6,5.0,5,30.0,3.4,3.0,2.0,18.0,1,8306.T
5.0,4.5,3,30.0,3.9,3.0,2,30.0,3.2,3.0,2.0,18.0,1,8306.T
3.9,4.0,2,22.5,4.6,4.0,4,20.0,4.3,4.0,3.0,18.0,1,8306.T
4.2,4.0,4,30.0,3.5,3.0,2,30.0,3.7,3.0,3.0,18.0,1,8306.T
4.2,4.0,3,30.0,4.3,4.0,2,30.0,3.6,3.0,3.0,12.0,1,8306.T
4.3,4.0,3,45.0,3.5,3.0,2,30.0,3.8,3.0,3.0,12.0,1,8306.T
4.1,3.0,3,30.0,3.5,3.0,2,15.0,6.8,7.5,9.0,18.0,1,8306.T
3.4,3.0,2,45.0,3.8,4.0,4,30.0,4.6,4.0,3.0,18.0,1,8306.T
4.0,4.0,3,45.0,3.7,3.0,2,30.0,3.6,3.0,3.0,18.0,1,8306.T
4.2,3.5,2,18.0,3.8,4.0,4,15.0,3.7,3.0,2.0,12.0,1,8306.T
3.5,3.0,3,45.0,4.1,3.0,2,20.0,3.6,3.0,2.0,18.0,1,8306.T
4.3,4.0,4,30.0,3.7,4.0,4,30.0,4.3,3.5,3.0,18.0,1,8306.T
3.9,3.0,2,45.0,4.1,4.0,4,30.0,3.8,3.0,2.0,18.0,1,8306.T
4.4,4.0,4,30.0,4.5,3.0,2,20.0,3.1,3.0,2.0,12.0,1,8306.T
3.7,3.5,4,45.0,4.2,4.0,2,30.0,5.8,6.0,3.0,18.0,1,8306.T
3.9,4.0,2,45.0,3.3,3.0,2,30.0,3.3,3.0,2.0,12.0,1,8306.T
4.0,3.0,3,45.0,3.6,3.0,2,30.0,3.6,3.0,3.0,12.0,1,8306.T
4.0,4.0,3,45.0,4.0,4.0,4,30.0,4.3,4.0,3.0,18.0,1,8306.T
4.4,4.0,3,30.0,3.4,3.0,2,30.0,3.2,3.0,3.0,18.0,1,8306.T
3.7,4.0,2,45.0,4.5,3.0,2,30.0,3.2,3.0,2.0,18.0,1,8306.T
4.4,3.0,3,30.0,3.6,3.0,2,12.0,3.4,3.0,2.0,18.0,1,8306.T
4.0,3.5,2,22.5,5.2,4.0,3,20.0,3.1,3.0,3.0,18.0,1,8306.T
4.1,4.0,5,45.0,3.6,4.0,4,30.0,3.1,3.0,3.0,12.0,1,8306.T
3.5,3.0,2,45.0,4.1,3.5,2,30.0,4.6,4.0,3.0,18.0,1,8306.T
4.4,4.0,3,22.5,4.9,4.0,2,30.0,4.3,3.5,3.0,18.0,1,8306.T
3.5,3.0,2,45.0,4.0,3.0,2,15.0,5.3,5.0,3.0,18.0,1,8306.T
3.8,3.5,2,30.0,3.7,4.0,4,20.0,4.6,4.0,3.0,12.0,1,8306.T
4.4,4.0,2,30.0,4.3,3.0,3,30.0,3.0,3.0,3.0,18.0,1,8306.T
4.2,4.0,2,45.0,3.6,3.0,2,30.0,3.6,3.0,2.0,12.0,1,8306.T
4.3,4.0,2,22.5,4.2,3.0,2,30.0,4.0,4.0,3.0,18.0,1,8306.T
3.6,3.0,2,30.0,3.2,3.0,2,30.0,4.1,4.0,3.0,18.0,1,8306.T
4.5,4.0,3,45.0,3.4,3.0,2,30.0,3.1,3.0,2.0,18.0,1,8306.T
3.6,3.0,3,45.0,3.7,3.0,2,30.0,4.0,3.0,3.0,18.0,0,8306.T
4.4,4.0,4,45.0,4.8,3.0,3,30.0,3.3,3.0,3.0,18.0,0,8306.T
4.6,4.0,2,45.0,3.7,3.0,3,30.0,6.0,6.0,5.0,8.5,0,8306.T
4.1,4.0,2,22.5,3.5,3.0,3,20.0,6.0,6.0,5.0,8.0,0,8306.T
3.9,3.0,3,45.0,4.4,4.5,3,20.0,6.2,6.5,3.0,18.0,0,8306.T
4.2,3.5,2,45.0,3.8,3.0,2,30.0,4.0,4.0,3.0,18.0,0,8306.T
4.4,4.0,3,15.0,3.4,3.0,2,30.0,3.6,3.0,3.0,12.0,0,8306.T
3.8,3.0,3,30.0,3.5,3.0,2,15.0,6.2,6.5,3.0,18.0,0,8306.T
4.4,4.0,3,45.0,3.6,3.0,2,20.0,3.4,3.0,2.0,18.0,0,8306.T
4.9,3.0,2,30.0,3.4,3.0,3,30.0,6.0,6.0,5.0,11.0,0,8306.T
3.3,3.0,2,45.0,4.2,4.0,2,30.0,4.6,4.0,3.0,18.0,0,8306.T
3.9,4.0,5,18.0,4.4,3.0,2,30.0,3.2,3.0,2.0,12.0,0,8306.T
