iter	Logloss
0	0.6896333945
1	0.6847643142
2	0.6788150527
3	0.6747407958
4	0.6695366459
5	0.6657516366
6	0.6624143913
7	0.6573956919
8	0.6530600104
9	0.6501723726
10	0.6463810908
11	0.6428991157
12	0.6385686775
13	0.636122362
14	0.6312791196
15	0.6278354838
16	0.6230560181
17	0.6200599367
18	0.6160356572
19	0.6121013766
20	0.6089402731
21	0.6057178647
22	0.6021037298
23	0.5997700867
24	0.5956102547
25	0.5933310917
26	0.5884698645
27	0.5848086042
28	0.5814340152
29	0.5782425228
30	0.5747483406
31	0.5721961157
32	0.5697340317
33	0.5673334813
34	0.5644491638
35	0.5614312353
36	0.5592515028
37	0.5566282631
38	0.55422833
39	0.551717803
40	0.5490500004
41	0.5460042856
42	0.5427166107
43	0.5410404085
44	0.5390334285
45	0.5365565922
46	0.5351720055
47	0.5320175559
48	0.5296336553
49	0.5283069918
50	0.5247296948
51	0.5220557428
52	0.5199988574
53	0.5171251577
54	0.5146163983
55	0.511271003
56	0.5087147784
57	0.5063155095
58	0.5039259102
59	0.5016773382
60	0.5000901187
61	0.497891562
62	0.4957098797
63	0.4928625409
64	0.4909715041
65	0.4894402008
66	0.4869630828
67	0.4850949026
68	0.4814796674
69	0.4788080244
70	0.4771960444
71	0.4759387004
72	0.4739984141
73	0.471545577
74	0.469342938
75	0.4674126705
76	0.4648616197
77	0.4631462802
78	0.4609638016
79	0.4594016169
80	0.4575116934
81	0.4551162139
82	0.4529026532
83	0.4517108888
84	0.450156619
85	0.4493625573
86	0.4474491274
87	0.4461219385
88	0.4438019075
89	0.4421725861
90	0.4406561532
91	0.4385851216
92	0.4372586035
93	0.4352612846
94	0.4339555821
95	0.4316259451
96	0.4299826817
97	0.4286341005
98	0.4270805082
99	0.4252246236
100	0.4231560409
101	0.4210346088
102	0.4196002047
103	0.4181395722
104	0.4169164086
105	0.4160385389
106	0.4142607131
107	0.4115480216
108	0.4100089315
109	0.408935289
110	0.4074502435
111	0.4062420901
112	0.4051679895
113	0.4039679828
114	0.4023576391
115	0.4013397179
116	0.4003670036
117	0.399492845
118	0.3978381056
119	0.3963635482
120	0.3950195819
121	0.3934449939
122	0.392134361
123	0.390987725
124	0.3899837725
125	0.3886465013
126	0.387319515
127	0.38616353
128	0.3849375583
129	0.3837160246
130	0.382128855
131	0.3814939284
132	0.3799798964
133	0.378778019
134	0.3766737319
135	0.3745698493
136	0.3730172044
137	0.3717778781
138	0.3702542423
139	0.3689633771
140	0.3673473036
141	0.3660231665
142	0.3657403943
143	0.3645818872
144	0.3639820752
145	0.3628047035
146	0.3613479776
147	0.3600110953
148	0.3585744153
149	0.3579679034
150	0.3566935475
151	0.3555658767
152	0.3544331298
153	0.353372418
154	0.3518811495
155	0.3510644833
156	0.3497625714
157	0.3489645166
158	0.3475075586
159	0.3467409011
160	0.3453456015
161	0.3440463356
162	0.3431334059
163	0.3416010079
164	0.3408825771
165	0.3392414906
166	0.3384028665
167	0.3374022214
168	0.3359748842
169	0.3344327375
170	0.3334601105
171	0.332183072
172	0.3312036461
173	0.330194753
174	0.3291132279
175	0.3282772677
176	0.3279958558
177	0.3265771336
178	0.3257273428
179	0.3245836115
180	0.3235240201
181	0.3222363681
182	0.3214152732
183	0.3204256226
184	0.3192530567
185	0.3182357698
186	0.3171564161
187	0.316314917
188	0.3147492432
189	0.3140467857
190	0.3128495123
191	0.3117934029
192	0.3113254613
193	0.3104899023
194	0.3095404891
195	0.3082175995
196	0.3070001283
197	0.3066241001
198	0.3059532845
199	0.3052709204
200	0.3042798292
201	0.3030568135
202	0.302009595
203	0.3004615268
204	0.2991054861
205	0.2979815365
206	0.2974831894
207	0.2968770258
208	0.2959497809
209	0.2952033835
210	0.2942320249
211	0.2932754716
212	0.2921641146
213	0.2916058863
214	0.2902449829
215	0.2889271242
216	0.2878650193
217	0.2866463482
218	0.2860019589
219	0.2854664232
220	0.2852182568
221	0.2844394025
222	0.2836388077
223	0.2827777652
224	0.2819419811
225	0.2808117664
226	0.2797057348
227	0.278826846
228	0.2780035165
229	0.277227722
230	0.2764758269
231	0.2755453626
232	0.274662458
233	0.2740863881
234	0.2731061644
235	0.2724899412
236	0.2718990021
237	0.2710334156
238	0.2699305544
239	0.269069148
240	0.2680908457
241	0.2668369868
242	0.2659128078
243	0.2651892495
244	0.264144924
245	0.2632945636
246	0.2623055799
247	0.2614790396
248	0.2606406399
249	0.2598473083
250	0.2594045556
251	0.2582810946
252	0.2574873189
253	0.256884765
254	0.2562720129
255	0.2556206245
256	0.2545713981
257	0.2539105891
258	0.2534153142
259	0.2529122245
260	0.2518497815
261	0.2509426369
262	0.2501829528
263	0.2495467375
264	0.2487955047
265	0.2477163365
266	0.2467795977
267	0.2461745131
268	0.2455004017
269	0.2446480234
270	0.2440653938
271	0.2434167223
272	0.2428543287
273	0.2420419182
274	0.2417233582
275	0.2410657476
276	0.240400407
277	0.2400934743
278	0.2392712185
279	0.2387654836
280	0.2382012403
281	0.2374978424
282	0.2366378393
283	0.2359334472
284	0.2351475105
285	0.2345629549
286	0.2337164528
287	0.2329361088
288	0.232271009
289	0.231758847
290	0.2311192509
291	0.2305311175
292	0.2298112827
293	0.229158576
294	0.228479609
295	0.2278689473
296	0.2271661057
297	0.2266383888
298	0.2260658429
299	0.2252513178
300	0.2247241136
301	0.2240250477
302	0.2233928995
303	0.2223760864
304	0.2216235555
305	0.2214827273
306	0.2209422799
307	0.2204983008
308	0.2196851081
309	0.2191472108
310	0.2183278269
311	0.2176235649
312	0.2170673165
313	0.2164948065
314	0.2159850675
315	0.2152433466
316	0.2141933036
317	0.2139930733
318	0.213191196
319	0.2126492542
320	0.2118821214
321	0.2113433749
322	0.2106167016
323	0.2101177281
324	0.2089751172
325	0.208531008
326	0.2082694465
327	0.2076731266
328	0.2073152346
329	0.2065715525
330	0.2057491299
331	0.2054394538
332	0.2049184656
333	0.2040726562
334	0.2034321447
335	0.2030746337
336	0.2024793602
337	0.2017297542
338	0.2010418395
339	0.2006753925
340	0.2002964168
341	0.2000553546
342	0.1994047796
343	0.1988515285
344	0.1985146345
345	0.1980761258
346	0.1973941911
347	0.1966178176
348	0.1961297303
349	0.1956663264
350	0.1949366121
351	0.1945989342
352	0.1944043504
353	0.1939899688
354	0.1937013015
355	0.1926849597
356	0.1922838096
357	0.1917072893
358	0.1911484502
359	0.190634881
360	0.1902380706
361	0.1899556218
